category,year,season,month,clicks,ttl_cat_clicks,month_min_clicks,min_cat_clicks,max_cat_clicks,month_max_clicks,avg_cat_clicks,std_cat_clicks,co_var_cat,mnth_ranking
shoulder bags,2021,Winter,12,91743,639459,2,36732,91743,12,53288.25,15732.497317365387,29.523388959790175,1.0
smoke detector,2021,Winter,1,77963,659220,6,33524,77963,1,54935.0,12757.936944933888,23.223695175996884,1.0
smoke detector,2021,Winter,2,64184,659220,6,33524,77963,1,54935.0,12757.936944933888,23.223695175996884,3.0
smoke detector,2021,Spring,3,63963,659220,6,33524,77963,1,54935.0,12757.936944933888,23.223695175996884,4.0
smoke detector,2021,Spring,4,45968,659220,6,33524,77963,1,54935.0,12757.936944933888,23.223695175996884,9.0
smoke detector,2021,Spring,5,49968,659220,6,33524,77963,1,54935.0,12757.936944933888,23.223695175996884,8.0
smoke detector,2021,Summer,6,33524,659220,6,33524,77963,1,54935.0,12757.936944933888,23.223695175996884,12.0
smoke detector,2021,Summer,7,42517,659220,6,33524,77963,1,54935.0,12757.936944933888,23.223695175996884,11.0
smoke detector,2021,Summer,8,43983,659220,6,33524,77963,1,54935.0,12757.936944933888,23.223695175996884,10.0
smoke detector,2021,Autumn,9,50019,659220,6,33524,77963,1,54935.0,12757.936944933888,23.223695175996884,7.0
smoke detector,2021,Autumn,10,56242,659220,6,33524,77963,1,54935.0,12757.936944933888,23.223695175996884,6.0
smoke detector,2021,Autumn,11,67523,659220,6,33524,77963,1,54935.0,12757.936944933888,23.223695175996884,2.0
smoke detector,2021,Winter,12,63366,659220,6,33524,77963,1,54935.0,12757.936944933888,23.223695175996884,5.0
sockets,2021,Winter,1,83800,857420,6,50130,107501,11,71451.66666666667,17714.52776849008,24.792322691549177,3.0
sockets,2021,Winter,2,60627,857420,6,50130,107501,11,71451.66666666667,17714.52776849008,24.792322691549177,9.0
sockets,2021,Spring,3,68260,857420,6,50130,107501,11,71451.66666666667,17714.52776849008,24.792322691549177,6.0
sockets,2021,Spring,4,60460,857420,6,50130,107501,11,71451.66666666667,17714.52776849008,24.792322691549177,10.0
sockets,2021,Spring,5,61453,857420,6,50130,107501,11,71451.66666666667,17714.52776849008,24.792322691549177,7.0
sockets,2021,Summer,6,50130,857420,6,50130,107501,11,71451.66666666667,17714.52776849008,24.792322691549177,12.0
sockets,2021,Summer,7,74815,857420,6,50130,107501,11,71451.66666666667,17714.52776849008,24.792322691549177,4.0
sockets,2021,Summer,8,56734,857420,6,50130,107501,11,71451.66666666667,17714.52776849008,24.792322691549177,11.0
sockets,2021,Autumn,9,61292,857420,6,50130,107501,11,71451.66666666667,17714.52776849008,24.792322691549177,8.0
sockets,2021,Autumn,10,71470,857420,6,50130,107501,11,71451.66666666667,17714.52776849008,24.792322691549177,5.0
sockets,2021,Autumn,11,107501,857420,6,50130,107501,11,71451.66666666667,17714.52776849008,24.792322691549177,1.0
sockets,2021,Winter,12,100878,857420,6,50130,107501,11,71451.66666666667,17714.52776849008,24.792322691549177,2.0
sports glasses,2021,Winter,1,48488,611358,10,29357,73352,7,50946.5,15523.728538185429,30.470647715123565,7.0
sports glasses,2021,Winter,2,48275,611358,10,29357,73352,7,50946.5,15523.728538185429,30.470647715123565,8.0
sports glasses,2021,Spring,3,58197,611358,10,29357,73352,7,50946.5,15523.728538185429,30.470647715123565,6.0
sports glasses,2021,Spring,4,64424,611358,10,29357,73352,7,50946.5,15523.728538185429,30.470647715123565,3.0
sports glasses,2021,Spring,5,60743,611358,10,29357,73352,7,50946.5,15523.728538185429,30.470647715123565,4.0
sports glasses,2021,Summer,6,68127,611358,10,29357,73352,7,50946.5,15523.728538185429,30.470647715123565,2.0
sports glasses,2021,Summer,7,73352,611358,10,29357,73352,7,50946.5,15523.728538185429,30.470647715123565,1.0
sports glasses,2021,Summer,8,59949,611358,10,29357,73352,7,50946.5,15523.728538185429,30.470647715123565,5.0
sports glasses,2021,Autumn,9,38955,611358,10,29357,73352,7,50946.5,15523.728538185429,30.470647715123565,9.0
sports glasses,2021,Autumn,10,29357,611358,10,29357,73352,7,50946.5,15523.728538185429,30.470647715123565,12.0
sports glasses,2021,Autumn,11,29481,611358,10,29357,73352,7,50946.5,15523.728538185429,30.470647715123565,11.0
sports glasses,2021,Winter,12,32010,611358,10,29357,73352,7,50946.5,15523.728538185429,30.470647715123565,10.0
sports nutrition,2021,Winter,1,103269,968048,12,50742,103269,1,80670.66666666667,14762.455334907927,18.29965704375146,1.0
sports nutrition,2021,Winter,2,87693,968048,12,50742,103269,1,80670.66666666667,14762.455334907927,18.29965704375146,5.0
sports nutrition,2021,Spring,3,99221,968048,12,50742,103269,1,80670.66666666667,14762.455334907927,18.29965704375146,2.0
sports nutrition,2021,Spring,4,91658,968048,12,50742,103269,1,80670.66666666667,14762.455334907927,18.29965704375146,3.0
sports nutrition,2021,Spring,5,89088,968048,12,50742,103269,1,80670.66666666667,14762.455334907927,18.29965704375146,4.0
sports nutrition,2021,Summer,6,74386,968048,12,50742,103269,1,80670.66666666667,14762.455334907927,18.29965704375146,9.0
sports nutrition,2021,Summer,7,84270,968048,12,50742,103269,1,80670.66666666667,14762.455334907927,18.29965704375146,6.0
sports nutrition,2021,Summer,8,76072,968048,12,50742,103269,1,80670.66666666667,14762.455334907927,18.29965704375146,7.0
sports nutrition,2021,Autumn,9,67706,968048,12,50742,103269,1,80670.66666666667,14762.455334907927,18.29965704375146,11.0
sports nutrition,2021,Autumn,10,69443,968048,12,50742,103269,1,80670.66666666667,14762.455334907927,18.29965704375146,10.0
sports nutrition,2021,Autumn,11,74500,968048,12,50742,103269,1,80670.66666666667,14762.455334907927,18.29965704375146,8.0
sports nutrition,2021,Winter,12,50742,968048,12,50742,103269,1,80670.66666666667,14762.455334907927,18.29965704375146,12.0
stuffed animals,2021,Winter,1,55839,814283,5,41630,164259,11,67856.91666666667,45258.60152995196,66.69710878888831,4.0
stuffed animals,2021,Winter,2,42503,814283,5,41630,164259,11,67856.91666666667,45258.60152995196,66.69710878888831,10.0
stuffed animals,2021,Spring,3,52005,814283,5,41630,164259,11,67856.91666666667,45258.60152995196,66.69710878888831,5.0
stuffed animals,2021,Spring,4,50308,814283,5,41630,164259,11,67856.91666666667,45258.60152995196,66.69710878888831,6.0
stuffed animals,2021,Spring,5,41630,814283,5,41630,164259,11,67856.91666666667,45258.60152995196,66.69710878888831,12.0
stuffed animals,2021,Summer,6,42267,814283,5,41630,164259,11,67856.91666666667,45258.60152995196,66.69710878888831,11.0
stuffed animals,2021,Summer,7,42904,814283,5,41630,164259,11,67856.91666666667,45258.60152995196,66.69710878888831,9.0
stuffed animals,2021,Summer,8,45268,814283,5,41630,164259,11,67856.91666666667,45258.60152995196,66.69710878888831,8.0
stuffed animals,2021,Autumn,9,46016,814283,5,41630,164259,11,67856.91666666667,45258.60152995196,66.69710878888831,7.0
stuffed animals,2021,Autumn,10,68885,814283,5,41630,164259,11,67856.91666666667,45258.60152995196,66.69710878888831,3.0
stuffed animals,2021,Autumn,11,164259,814283,5,41630,164259,11,67856.91666666667,45258.60152995196,66.69710878888831,1.0
stuffed animals,2021,Winter,12,162399,814283,5,41630,164259,11,67856.91666666667,45258.60152995196,66.69710878888831,2.0
stylus,2021,Winter,1,102032,787384,6,35969,126711,11,65615.33333333333,32118.907853427547,48.95030813950126,3.0
stylus,2021,Winter,2,41665,787384,6,35969,126711,11,65615.33333333333,32118.907853427547,48.95030813950126,10.0
stylus,2021,Spring,3,50015,787384,6,35969,126711,11,65615.33333333333,32118.907853427547,48.95030813950126,6.0
stylus,2021,Spring,4,48096,787384,6,35969,126711,11,65615.33333333333,32118.907853427547,48.95030813950126,7.0
stylus,2021,Spring,5,41716,787384,6,35969,126711,11,65615.33333333333,32118.907853427547,48.95030813950126,9.0
stylus,2021,Summer,6,35969,787384,6,35969,126711,11,65615.33333333333,32118.907853427547,48.95030813950126,12.0
stylus,2021,Summer,7,37644,787384,6,35969,126711,11,65615.33333333333,32118.907853427547,48.95030813950126,11.0
stylus,2021,Summer,8,42633,787384,6,35969,126711,11,65615.33333333333,32118.907853427547,48.95030813950126,8.0
stylus,2021,Autumn,9,67173,787384,6,35969,126711,11,65615.33333333333,32118.907853427547,48.95030813950126,5.0
stylus,2021,Autumn,10,81883,787384,6,35969,126711,11,65615.33333333333,32118.907853427547,48.95030813950126,4.0
stylus,2021,Autumn,11,126711,787384,6,35969,126711,11,65615.33333333333,32118.907853427547,48.95030813950126,1.0
